Title (display_name),DOI (doi),Is open access (is_oa),Open Alex ID (id)
Do u smoke after txt? Results of a randomised trial of smoking cessation using mobile phone text messaging,https://doi.org/10.1136/tc.2005.011577,TRUE,W2106444270
A Randomized Controlled Trial of Two Different Lengths of Nicotine Replacement Therapy for Smoking Cessation,https://doi.org/10.1155/2013/961751,TRUE,W2135122291
Effectiveness of the e-Tabac Info Service application for smoking cessation: a pragmatic randomised controlled trial,https://doi.org/10.1136/bmjopen-2020-039515,TRUE,W3095952334
Addressing Postpartum Smoking Relapse Among Low-Income Women: A Randomized Control Trial,https://doi.org/10.17294/2330-0698.1702,TRUE,W2984872915
Varenicline versus transdermal nicotine patch for smoking cessation: results from a randomised open-label trial,https://doi.org/10.1136/thx.2007.090647,TRUE,W2129372385
Nortriptyline plus nicotine replacement versus placebo plus nicotine replacement for smoking cessation: pragmatic randomised controlled trial,https://doi.org/10.1136/bmj.39545.852616.be,TRUE,W2077332137
The efficacy of a smoking cessation programme in patients undergoing elective surgery – a randomised clinical trial,https://doi.org/10.1111/j.1365-2044.2008.05758.x,TRUE,W2163610872
Effect of incorporating a 10 minute point of care test for salivary nicotine metabolites into a general practice based smoking cessation programme: randomised controlled trial,https://doi.org/10.1136/bmj.38621.463900.7c,TRUE,W2084777940
Promoting smoking cessation in Pakistani and Bangladeshi men in the UK: pilot cluster randomised controlled trial of trained community outreach workers,https://doi.org/10.1186/1745-6215-12-197,TRUE,W2159668292
"Nicotine patches in pregnant smokers: randomised, placebo controlled, multicentre trial of efficacy",https://doi.org/10.1136/bmj.g1622,TRUE,W2015259201
A randomized trial of decision support for tobacco dependence treatment in an inpatient electronic medical record: clinical results,https://doi.org/10.1186/s13012-019-0856-8,TRUE,W2913620814
Smartphone Smoking Cessation Application (SSC App) trial: a multicountry double-blind automated randomised controlled trial of a smoking cessation decision-aid ‘app’,https://doi.org/10.1136/bmjopen-2017-017105,TRUE,W2794564903
A randomised controlled trial of a smoking cessation intervention delivered by dental hygienists: a feasibility study,https://doi.org/10.1186/1472-6831-7-5,TRUE,W2024907886
A double-blind randomized trial of nicotine nasal spray as an aid in smoking cessation,https://doi.org/10.1183/09031936.97.10071585,TRUE,W2126832515
Nicotine nasal spray with nicotine patch for smoking cessation: randomised trial with six year follow up Commentary: Progress on nicotine replacement therapy for smokers,https://doi.org/10.1136/bmj.318.7179.285,TRUE,W2096115799
"Smoking reduction with oral nicotine inhalers: double blind, randomised clinical trial of efficacy and safety",https://doi.org/10.1136/bmj.321.7257.329,TRUE,W2098805226
QuitNic: A Pilot Randomized Controlled Trial Comparing Nicotine Vaping Products With Nicotine Replacement Therapy for Smoking Cessation Following Residential Detoxification,https://doi.org/10.1093/ntr/ntaa143,TRUE,W3048354961
Self-Incentives Uniquely Boost Cessation in Community-Based Stop Smoking Programs: Randomized Controlled Trial,https://doi.org/10.1093/abm/kay056,TRUE,W2811376244
EffiCiency and Safety of an eLectronic cigAreTte (ECLAT) as Tobacco Cigarettes Substitute: A Prospective 12-Month Randomized Control Design Study,https://doi.org/10.1371/journal.pone.0066317,TRUE,W2128364692
A double-blind randomized clinical trial of different doses of transdermal nicotine patch for smoking reduction and cessation in long-term hospitalized schizophrenic patients,https://doi.org/10.1007/s00406-012-0338-3,TRUE,W2055066551
A Randomized Trial of Nicotine-Replacement Therapy Patches in Pregnancy,https://doi.org/10.1056/nejmoa1109582,TRUE,W2132635946
A placebo controlled randomized trial of the effects of phenylpropanolamine and nicotine gum on cessation rates and postcessation weight gain in women,https://doi.org/10.1016/j.addbeh.2004.04.013,FALSE,W2167372974
"Effect of nicotine patches in pregnancy on infant and maternal outcomes at 2 years: follow-up from the randomised, double-blind, placebo-controlled SNAP trial",https://doi.org/10.1016/s2213-2600(14)70157-2,TRUE,W2140190540
Effect of Mailing Nicotine Patches on Tobacco Cessation Among Adult Smokers,https://doi.org/10.1001/jamainternmed.2015.7792,TRUE,W2261189365
Pilot randomized trial on mindfulness training for smokers in young adult binge drinkers,https://doi.org/10.1186/1472-6882-13-215,TRUE,W2017602218
Randomized trial comparing mindfulness training for smokers to a matched control,https://doi.org/10.1016/j.jsat.2014.04.005,TRUE,W2140524348
Randomised controlled trial using social support and financial incentives for high risk pregnant smokers: Significant Other Supporter (SOS) program,https://doi.org/10.1136/tc.9.suppl_3.iii67,TRUE,W2148293521
Effect of Varenicline on Smoking Cessation Through Smoking Reduction,https://doi.org/10.1001/jama.2015.280,TRUE,W2166090261
Effectiveness of a pharmacist-delivered smoking cessation program in the State of Qatar: a randomized controlled trial,https://doi.org/10.1186/s12889-017-4103-4,TRUE,W2590397343
A Randomized Clinical Trial of Trans-Dermal Nicotine Replacement in Pregnant African-American Smokers,https://doi.org/10.1007/s10995-012-1069-9,TRUE,W1971054330
Preventing Smoking Relapse via Web-Based Computer-Tailored Feedback: A Randomized Controlled Trial,https://doi.org/10.2196/jmir.2057,TRUE,W2039045699
Comparing abrupt and gradual smoking cessation: A randomized trial,https://doi.org/10.1016/j.drugalcdep.2011.04.016,TRUE,W2035642690
Stopping smokeless tobacco with varenicline: randomised double blind placebo controlled trial,https://doi.org/10.1136/bmj.c6549,TRUE,W2048021420
"Prospective, Randomized, Controlled Trial using Best-Selling Smoking-Cessation Book",https://doi.org/10.1177/014556131709600719,TRUE,W2902519332
"Smoking cessation support delivered via mobile phone text messaging (txt2stop): a single-blind, randomised trial",https://doi.org/10.1016/s0140-6736(11)60701-0,TRUE,W2102316523
"The Efficacy of Auriculotherapy for Smoking Cessation: A Randomized, Placebo-Controlled Trial",https://doi.org/10.3122/jabfm.2013.01.120157,TRUE,W2056186415
Proactive tobacco treatment offering free nicotine replacement therapy and telephone counselling for socioeconomically disadvantaged smokers: a randomised clinical trial,https://doi.org/10.1136/thoraxjnl-2015-207904,TRUE,W2290468307
Effect of increasing the delivery of smoking cessation care in alcohol and other drug treatment centres: a cluster‐randomized controlled trial,https://doi.org/10.1111/add.14911,TRUE,W2991574636
Effects of varenicline on sympatho-vagal balance and cue reactivity during smoking withdrawal: a randomised placebo-controlled trial,https://doi.org/10.1186/s12971-016-0091-x,TRUE,W2514230162
Proactive Tobacco Cessation Outreach to Smokers of Low Socioeconomic Status,https://doi.org/10.1001/jamainternmed.2014.6674,TRUE,W2162788038
Randomized controlled trial of a midwife‐delivered brief smoking cessation intervention in pregnancy,https://doi.org/10.1046/j.1360-0443.2001.96348511.x,FALSE,W2151305416
Brief intervention during hospital admission to help patients to give up smoking after myocardial infarction and bypass surgery: randomised controlled trial,https://doi.org/10.1136/bmj.324.7329.87,TRUE,W2153667880
Increasing Varenicline Dose in Smokers Who Do Not Respond to the Standard Dosage,https://doi.org/10.1001/jamainternmed.2014.6916,TRUE,W2152754089
Randomised clinical trial of snus versus medicinal nicotine among smokers interested in product switching,https://doi.org/10.1136/tobaccocontrol-2014-052080,TRUE,W1855153853
Efficacy of a Text Message-Based Smoking Cessation Intervention for Young People: A Cluster Randomized Controlled Trial,https://doi.org/10.2196/jmir.2636,TRUE,W2141336650
"Efficacy of a technology-based, integrated smoking cessation and alcohol intervention for smoking cessation in adolescents: Results of a cluster-randomised controlled trial",https://doi.org/10.1016/j.jsat.2017.09.008,TRUE,W2754924832
A feasibility study with embedded pilot randomised controlled trial and process evaluation of electronic cigarettes for smoking cessation in patients with periodontitis,https://doi.org/10.1186/s40814-019-0451-4,TRUE,W2948787059
The Effects of Text Message and Infographic on Reducing the Number Cigarettes Consumption: A Randomized Controlled Trial,https://doi.org/10.31557/apjcp.2020.21.11.3413,TRUE,W3108358261
Placebo controlled trial of nicotine chewing gum in general practice.,https://doi.org/10.1136/bmj.289.6448.794,TRUE,W1984282135
Randomised controlled trial of nicotine chewing-gum.,https://doi.org/10.1136/bmj.285.6341.537,TRUE,W2040616879
Association of <i>COMT</i> Val108/158Met Genotype with Smoking Cessation in a Nicotine Replacement Therapy Randomized Trial,https://doi.org/10.1158/1055-9965.epi-06-0936,TRUE,W2050054512
"Randomized, placebo-controlled, double-blind trial of Swedish snus for smoking reduction and cessation",https://doi.org/10.1186/1477-7517-8-25,TRUE,W2106426735
"A Controlled Trial of Sustained-Release Bupropion, a Nicotine Patch, or Both for Smoking Cessation",https://doi.org/10.1056/nejm199903043400903,TRUE,W2312609348
Depression Vulnerability Moderates the Effects of Cognitive Behavior Therapy in a Randomized Controlled Trial for Smoking Cessation,https://doi.org/10.1016/j.beth.2009.10.001,TRUE,W2041701858
Allen Carr’s Easyway to Stop Smoking - A randomised clinical trial,https://doi.org/10.1136/tobaccocontrol-2018-054243,TRUE,W2898523926
Impact of a board-game approach on current smokers: a randomized controlled trial,https://doi.org/10.1186/1747-597x-8-3,TRUE,W2141055998
"The effect of transtheoretical model-based individual counseling, training, and a 6-month follow-up on smoking cessation in adult women: a randomized controlled trial*",https://doi.org/10.3906/sag-1407-100,TRUE,W2257102859
Smoking cessation or reduction with nicotine replacement therapy: a placebo-controlled double blind trial with nicotine gum and inhaler,https://doi.org/10.1186/1471-2458-9-433,TRUE,W2012042537
Smoking cessation at the workplace. Results of a randomised controlled intervention study,https://doi.org/10.1136/jech.54.5.349,TRUE,W2162526176
A cluster randomised controlled trial of smoking cessation in pregnant women comparing interventions based on the transtheoretical (stages of change) model to standard care,https://doi.org/10.1136/tc.12.2.168,TRUE,W2138857819
Cost effectiveness of computer tailored and non-tailored smoking cessation letters in general practice: randomised controlled,https://doi.org/10.1136/bmj.322.7299.1396,TRUE,W2124361068
Brief intervention to promote smoking cessation and improve glycemic control in smokers with type 2 diabetes: a randomized controlled trial,https://doi.org/10.1038/srep45902,TRUE,W2600563934
Effectiveness of a Brief Self-determination Theory–Based Smoking Cessation Intervention for Smokers at Emergency Departments in Hong Kong,https://doi.org/10.1001/jamainternmed.2019.5176,TRUE,W2990102227
"Efficacy of brief motivational interviewing on smoking cessation at tuberculosis clinics in <scp>T</scp>shwane, <scp>S</scp>outh <scp>A</scp>frica: a randomized controlled trial",https://doi.org/10.1111/add.12671,TRUE,W2111028651
