Title (display_name),DOI (doi),Is open access (is_oa),Open Alex ID (id)
Do u smoke after txt? Results of a randomised trial of smoking cessation using mobile phone text messaging,https://doi.org/10.1136/tc.2005.011577,TRUE,W2106444270
A Randomized Controlled Trial of Two Different Lengths of Nicotine Replacement Therapy for Smoking Cessation,https://doi.org/10.1155/2013/961751,TRUE,W2135122291
Effectiveness of the e-Tabac Info Service application for smoking cessation: a pragmatic randomised controlled trial,https://doi.org/10.1136/bmjopen-2020-039515,TRUE,W3095952334
Contingency management for tobacco smoking during opioid addiction treatment: a randomised pilot study,https://doi.org/10.1136/bmjopen-2017-017467,TRUE,W2752799780
Muslim communities learning about second-hand smoke (MCLASS): study protocol for a pilot cluster randomised controlled trial,https://doi.org/10.1186/1745-6215-14-295,TRUE,W2107963929
A pilot randomised controlled trial of the feasibility of using body scan and isometric exercises for reducing urge to smoke in a smoking cessation clinic,https://doi.org/10.1186/1471-2458-8-349,TRUE,W2050830706
Addressing Postpartum Smoking Relapse Among Low-Income Women: A Randomized Control Trial,https://doi.org/10.17294/2330-0698.1702,TRUE,W2984872915
"Effect of Nicotine Replacement Therapy on Agitation in Smokers With Schizophrenia: A Double-Blind, Randomized, Placebo-Controlled Study",https://doi.org/10.1176/appi.ajp.2010.10040569,FALSE,W2155255064
"A two-site, two-arm, 34-week, double-blind, parallel-group, randomized controlled trial of reduced nicotine cigarettes in smokers with mood and/or anxiety disorders: trial design and protocol",https://doi.org/10.1186/s12889-016-3946-4,TRUE,W2572296348
"Design of a school-based randomized trial to reduce smoking among 13 to 15-year olds, the X:IT study",https://doi.org/10.1186/1471-2458-14-518,TRUE,W2004325653
Effects of the X:IT smoking intervention: a school-based cluster randomized trial,https://doi.org/10.1093/ije/dyv145,TRUE,W2262800008
"The Women’s wellness after cancer program: a multisite, single-blinded, randomised controlled trial protocol",https://doi.org/10.1186/s12885-017-3088-9,TRUE,W2585691951
Predictors of Neuropsychiatric Adverse Events with Smoking Cessation Medications in the Randomized Controlled EAGLES Trial,https://doi.org/10.1007/s11606-019-04858-2,TRUE,W2922275854
N-acetylcysteine for cessation of tobacco smoking: rationale and study protocol for a randomised controlled trial,https://doi.org/10.1186/s13063-019-3628-5,TRUE,W2972734851
Information sheets for patients with acute chest pain: randomised controlled trial,https://doi.org/10.1136/bmj.b541,TRUE,W1967555556
Varenicline versus transdermal nicotine patch for smoking cessation: results from a randomised open-label trial,https://doi.org/10.1136/thx.2007.090647,TRUE,W2129372385
Children and youth perceive smoking messages in an unbranded advertisement from a NIKE marketing campaign: a cluster randomised controlled trial,https://doi.org/10.1186/1471-2431-11-26,TRUE,W1986772680
Evidence-based new service package vs. routine service package for smoking cessation to prevent high risk patients from cardiovascular diseases (CVD): study protocol for randomized controlled trial,https://doi.org/10.1186/1745-6215-14-419,TRUE,W2162501922
"Cluster randomised controlled trial of expert system based on the transtheoretical (""stages of change"") model for smoking prevention and cessation in schools",https://doi.org/10.1136/bmj.319.7215.948,TRUE,W2019634771
The influence of in-pregnancy smoking cessation programmes on partner quitting and women's social support mobilization: a randomized controlled trial [ISRCTN89131885],https://doi.org/10.1186/1471-2458-5-80,TRUE,W1675195610
Nortriptyline plus nicotine replacement versus placebo plus nicotine replacement for smoking cessation: pragmatic randomised controlled trial,https://doi.org/10.1136/bmj.39545.852616.be,TRUE,W2077332137
The efficacy of a smoking cessation programme in patients undergoing elective surgery – a randomised clinical trial,https://doi.org/10.1111/j.1365-2044.2008.05758.x,TRUE,W2163610872
Study protocol: a randomised controlled trial investigating the effect of a healthy lifestyle intervention for people with severe mental disorders,https://doi.org/10.1186/1471-2458-11-10,TRUE,W2166230256
Effectiveness of a telephone-based intervention for smoking cessation in patients with severe mental disorders: study protocol for a randomized controlled trial,https://doi.org/10.1186/s13063-018-3106-5,TRUE,W2914509616
Effectiveness of a Web-Based Tailored Intervention (E-health4Uth) and Consultation to Promote Adolescents’ Health: Randomized Controlled Trial,https://doi.org/10.2196/jmir.3163,TRUE,W2168266862
The Indigenous Counselling and Nicotine (ICAN) QUIT in Pregnancy Pilot Study protocol: a feasibility step-wedge cluster randomised trial to improve health providers' management of smoking during pregnancy,https://doi.org/10.1136/bmjopen-2017-016095,TRUE,W2744557494
Effect of Pay-for-Performance Incentives on Quality of Care in Small Practices With Electronic Health Records,https://doi.org/10.1001/jama.2013.277353,TRUE,W2057355482
Effect of incorporating a 10 minute point of care test for salivary nicotine metabolites into a general practice based smoking cessation programme: randomised controlled trial,https://doi.org/10.1136/bmj.38621.463900.7c,TRUE,W2084777940
A Nurse-coordinated Model of Care versus Usual Care for Stage 3/4 Chronic Kidney Disease in the Community,https://doi.org/10.2215/cjn.07160810,TRUE,W2170094063
Effectiveness of Different Web-Based Interventions to Prepare Co-Smokers of Cigarettes and Cannabis for Double Cessation: A Three-Arm Randomized Controlled Trial,https://doi.org/10.2196/jmir.3246,TRUE,W2033834925
Promoting smoking cessation in Bangladeshi and Pakistani male adults: design of a pilot cluster randomised controlled trial of trained community smoking cessation workers,https://doi.org/10.1186/1745-6215-10-71,TRUE,W2127895799
Promoting smoking cessation in Pakistani and Bangladeshi men in the UK: pilot cluster randomised controlled trial of trained community outreach workers,https://doi.org/10.1186/1745-6215-12-197,TRUE,W2159668292
Attentional bias retraining in cigarette smokers attempting smoking cessation (ARTS): Study protocol for a double blind randomised controlled trial,https://doi.org/10.1186/1471-2458-13-1176,TRUE,W2166274198
Examining the effectiveness of general practitioner and nurse promotion of electronic cigarettes versus standard care for smoking reduction and abstinence in hardcore smokers with smoking-related chronic disease: protocol for a randomised controlled trial,https://doi.org/10.1186/s13063-019-3850-1,TRUE,W2982194662
"Nicotine patches in pregnant smokers: randomised, placebo controlled, multicentre trial of efficacy",https://doi.org/10.1136/bmj.g1622,TRUE,W2015259201
"Protocol for study of financial incentives for smoking cessation in pregnancy (FISCP): randomised, multicentre study",https://doi.org/10.1136/bmjopen-2016-011669,TRUE,W2478792629
"Randomised, placebo-controlled, double-blind, double-dummy, multicentre trial comparing electronic cigarettes with nicotine to varenicline and to electronic cigarettes without nicotine: the ECSMOKE trial protocol",https://doi.org/10.1136/bmjopen-2018-028832,TRUE,W2945408945
Home medicines reviews following acute coronary syndrome: study protocol for a randomized controlled trial,https://doi.org/10.1186/1745-6215-13-30,TRUE,W2118815948
Tobacco dependence treatment in the emergency department: A randomized trial using the Multiphase Optimization Strategy,https://doi.org/10.1016/j.cct.2017.12.016,TRUE,W2779358030
A randomized trial of decision support for tobacco dependence treatment in an inpatient electronic medical record: clinical results,https://doi.org/10.1186/s13012-019-0856-8,TRUE,W2913620814
Cardiac rehabilitation after acute coronary syndrome comparing adherence and risk factor modification in a community-based shared care model versus hospital-based care in a randomised controlled trial with 12 months of follow-up,https://doi.org/10.1177/1474515116666781,TRUE,W2511665413
A randomised controlled trial of a community intervention to prevent adolescent tobacco use,https://doi.org/10.1136/tc.9.1.24,TRUE,W2106030729
"Electroacupuncture Therapy in Nicotine Dependence: A Double Blind, Sham-Controlled Study",https://doi.org/10.5152/npa.2015.9887,TRUE,W2559947901
Assessing the effect of an interactive decision-aid smartphone smoking cessation application (app) on quit rates: a double-blind automated randomised control trial protocol,https://doi.org/10.1136/bmjopen-2014-005371,TRUE,W2125316129
Smartphone Smoking Cessation Application (SSC App) trial: a multicountry double-blind automated randomised controlled trial of a smoking cessation decision-aid ‘app’,https://doi.org/10.1136/bmjopen-2017-017105,TRUE,W2794564903
A randomised controlled trial of a smoking cessation intervention delivered by dental hygienists: a feasibility study,https://doi.org/10.1186/1472-6831-7-5,TRUE,W2024907886
‘Are smokers less deserving of expensive treatment? A randomised controlled trial that goes beyond official values’,https://doi.org/10.1186/s12910-015-0019-7,TRUE,W2073404601
A double-blind randomized trial of nicotine nasal spray as an aid in smoking cessation,https://doi.org/10.1183/09031936.97.10071585,TRUE,W2126832515
Nicotine nasal spray with nicotine patch for smoking cessation: randomised trial with six year follow up Commentary: Progress on nicotine replacement therapy for smokers,https://doi.org/10.1136/bmj.318.7179.285,TRUE,W2096115799
PERSonalised Incentives for Supporting Tobacco cessation (PERSIST) among healthcare employees: a randomised controlled trial protocol,https://doi.org/10.1136/bmjopen-2020-037799,TRUE,W3085796685
"Smoking reduction with oral nicotine inhalers: double blind, randomised clinical trial of efficacy and safety",https://doi.org/10.1136/bmj.321.7257.329,TRUE,W2098805226
Comparing socially disadvantaged smokers who agree and decline to participate in a randomised smoking cessation trial,https://doi.org/10.1136/bmjopen-2015-008419,TRUE,W2283030003
An organisational change intervention for increasing the delivery of smoking cessation support in addiction treatment centres: study protocol for a randomized controlled trial,https://doi.org/10.1186/s13063-016-1401-6,TRUE,W2427074704
QuitNic: A Pilot Randomized Controlled Trial Comparing Nicotine Vaping Products With Nicotine Replacement Therapy for Smoking Cessation Following Residential Detoxification,https://doi.org/10.1093/ntr/ntaa143,TRUE,W3048354961
Effect of e-cigarette advertisements and antismoking messages on explicit and implicit attitudes towards tobacco and e-cigarette smoking in 18–65-year-olds: a randomised controlled study protocol,https://doi.org/10.1136/bmjopen-2016-014361,TRUE,W2683665261
A randomized controlled trial of the effect of standardized patient scenarios on dental hygiene students' confidence in providing tobacco dependence counseling.,,FALSE,W2149015453
Cigarette pack messages about toxic chemicals: a randomised clinical trial,https://doi.org/10.1136/tobaccocontrol-2017-054112,TRUE,W2797496293
Self-Incentives Uniquely Boost Cessation in Community-Based Stop Smoking Programs: Randomized Controlled Trial,https://doi.org/10.1093/abm/kay056,TRUE,W2811376244
An evidence-based shared decision making programme on the prevention of myocardial infarction in type 2 diabetes: protocol of a randomised-controlled trial,https://doi.org/10.1186/1471-2296-14-155,TRUE,W1976323024
A dyadic planning intervention to quit smoking in single-smoking couples: design of a randomized controlled trial,https://doi.org/10.1186/s40359-018-0266-8,TRUE,W2901786941
Study protocol for a randomised controlled trial of electronic cigarettes versus nicotine patch for smoking cessation,https://doi.org/10.1186/1471-2458-13-210,TRUE,W2003522843
